,location,latitude,longitude,address,ward,Dipika Damerla,Stephen Dasko,Carolyn Parrish,Alvin Tedjo,total
0,All Saints SS,43.5317405,-79.7111131,"4105 Colonial Dr, Mississauga, ON L5L 4E8",8,222,245,375,441,1418
1,Amica at City Centre,43.5872055,-79.6471354,"380 Princess Royal Dr, Mississauga, ON L5B 4M9",4,19,7,8,3,49
2,Amica at Erin Mills,43.5494828,-79.7167868,"4620 Kimbermount Ave, Mississauga, ON L5M 5W5",8,3,7,7,1,26
3,Artesian Drive PS,43.5430659,-79.7196424,"3325 Artesian Dr, Mississauga, ON L5M 7J8",8,138,52,410,196,879
4,Beechwood Place RR,43.6280735,-79.6046681,"1500 Rathburn Rd E, Mississauga, ON L4W 4L7",3,8,5,8,3,29
5,Bishop Scalabrini SS,43.5846052,-79.6356674,"225 Central Pkwy W, Mississauga, ON L5B 3J5",7,291,125,338,263,1122
6,Bough Beeches Place,43.6259342,-79.600813,"1130 Bough Beeches Blvd, Mississauga, ON L4W 4G3",3,1,0,4,0,8
7,Brandon Gate PS,43.7325937,-79.6415982,"3800 Brandon Gate Dr, Mississauga, ON L4T 3V9",5,60,18,255,50,454
8,Brian W Fleming PS,43.6182891,-79.5874355,"3255 Havenwood Dr, Mississauga, ON L4X 2M2",3,289,113,191,100,789
9,Briarwood PS,43.6023606,-79.6200006,"1065 Mississauga Vly Blvd, Mississauga, ON L5A 2A1",4,213,109,221,158,773
10,Britannia PS,43.606447,-79.7076877,"1145 Swinbourne Dr, Mississauga, ON L5V 1C2",11,216,69,306,212,865
11,Burnhamthorpe CC,43.6228484,-79.5992311,"1500 Gulleden Dr, Mississauga, ON L4X 2T7",3,1042,446,864,662,3354
12,Burnhamthorpe PS,43.6167031,-79.5982973,"3465 Golden Orchard Dr, Mississauga, ON L4Y 3H7",3,346,153,129,79,749
13,Castlebridge PS,43.567918,-79.7330462,"2801 Castlebridge Dr, Mississauga, ON L5M 5J9",9,172,106,357,310,1052
14,Cawthra Gardens LTC,43.593105,-79.6037121,"590 Lolita Gardens, Mississauga, ON L5A 4N8",4,1,1,2,1,7
15,Champlain Trail PS,43.6035776,-79.6789137,"895 Ceremonial Dr, Mississauga, ON L5R 3B5",5,315,121,741,376,1725
16,Christ the King CS,43.5242194,-79.6959164,"3240 Garthwood Rd, Mississauga, ON L5L 5A3",8,162,163,350,353,1113
17,Church. MDW CC,43.5417764,-79.7442606,"5320 Ninth Line, Mississauga, ON L5M 0R5",10,208,75,571,353,1311
18,Church. Mdws BL,43.5523473,-79.7476441,"3801 Thomas St, Mississauga, ON L5M 7G2",10,688,251,2006,1059,4355
19,Church. Meadows PS,43.5594022,-79.7485886,"3310 McDowell Dr, Mississauga, ON L5M 6R8",10,152,61,437,243,960
20,Clarkson CC,43.5113661,-79.6504247,"2475 Truscott Dr, Mississauga, ON L5J 2B5",2,456,752,704,1425,3577
21,Clarkson PS,43.5141232,-79.6213433,"888 Clarkson Rd S, Mississauga, ON L5J 2V3",2,145,218,145,361,923
22,Clifton PS,43.5840498,-79.602443,"2389 Cliff Rd, Mississauga, ON L5A 2P1",7,482,270,394,223,1482
23,Constitution Place RR,43.6044454,-79.5925296,"3051 Constitution Blvd, Mississauga, ON L4Y 2Z1",3,1,0,6,2,13
24,Cooksville Lifecare CTR,43.5733207,-79.6098836,"55 Queensway W, Mississauga, ON L5B 1B5",7,1,1,4,1,14
25,Corpus Christi SS,43.5848992,-79.6524935,"4155 Elora Dr, Mississauga, ON L5B 3N4",4,208,96,429,306,1133
26,Courtneypark CTR,43.6237988,-79.7102704,"730 Courtneypark Dr W, Mississauga, ON L5W 1L9",11,347,104,459,295,1318
27,Credit River RR,43.5809046,-79.7180094,"175 Rutledge Rd, Streetsville, ON L5M 0X7",11,4,6,12,5,33
28,Credit Valley Hospital,43.5588588,-79.7044117,"2200 Eglinton Ave W, Mississauga, ON L5M 2N1",8,0,0,5,1,7
29,Credit Valley PS,43.554487,-79.7071146,"2365 Credit Valley Rd, Mississauga, ON L5M 4E8",8,235,108,324,347,1129
30,David Leeder MS,43.6277822,-79.7228387,"6900 Gooderham Estate Blvd, Mississauga, ON L5W 1B4",11,326,94,449,311,1282
31,Derry West Village PS,43.6405762,-79.7235726,"620 Twain Ave, Mississauga, ON L5W 1M1",11,286,51,421,214,1029
32,Dixie PS,43.6080991,-79.5967603,"1120 Flagship Dr, Mississauga, ON L4Y 2K1",3,289,139,196,135,844
33,Dunrankin Drive PS,43.7229135,-79.6312316,"3700 Dunrankin Dr, Mississauga, ON L4T 1V9",5,35,14,172,49,343
34,Edenrose PS,43.5790671,-79.6761537,"1342 Edenrose St, Mississauga, ON L5V 1K9",6,219,93,523,358,1304
35,Erin Meadows CC,43.5565129,-79.7179229,"2800 Erin Centre Blvd, Mississauga, ON L5M 6R5",9,450,221,960,788,2719
36,Erindale SS,43.5389206,-79.6670068,"2021 Dundas St W, Mississauga, ON L5K 1R2",8,132,156,219,254,849
37,Evergreen Retirement,43.5926323,-79.670875,"820 Scollard Ct, Mississauga, ON L5V 0A1",6,20,3,16,13,57
38,Extendicare Miss.,43.6323779,-79.7287037,"855 John Watt Blvd, Mississauga, ON L5W 1G2",11,0,1,0,0,1
39,Fairview PS,43.5885973,-79.6370061,"3590 Joan Dr, Mississauga, ON L5B 1T8",7,307,67,342,208,988
40,Fairwind Senior PS,43.6054269,-79.6664973,"5235 Fairwind Dr, Mississauga, ON L5R 3L2",5,187,73,390,166,922
41,Father Dan. Zan. CS,43.5730089,-79.6310687,"450 Hillcrest Ave, Mississauga, ON L5B 4J3",7,554,185,543,426,1834
42,Floradale PS,43.5716173,-79.6157365,"210 Paisley Blvd W, Mississauga, ON L5B 2A4",7,237,121,230,81,709
43,Forest Avenue PS,43.5579743,-79.5826635,"20 Forest Ave, Mississauga, ON L5G 1K7",1,83,508,87,114,818
44,Forest Glen PS,43.6272043,-79.5890909,"3400 Ponytrail Dr, Mississauga, ON L4X 1V5",3,213,71,171,87,598
45,Frank McKech. CC,43.6163705,-79.6556235,"310 Bristol Rd E, Mississauga, ON L4Z 3V5",5,813,338,1899,865,4356
46,Green Glade Sr. PS,43.5155364,-79.6104368,"1550 Green Glade, Mississauga, ON L5J 1B5",2,79,282,118,170,680
47,Heritage Glen,43.5829141,-79.7529381,"6515 Glen Erin Dr, Mississauga, ON L5N 8P9",9,2,1,0,2,5
48,Huntingt. Rdg PS,43.5969757,-79.6580513,"345 Huntington Ridge Dr, Mississauga, ON L5R 1R6",4,204,74,387,185,962
49,Huron Park CC,43.558978,-79.6339452,"830 Paisley Blvd W, Mississauga, ON L5C 3P5",7,766,431,830,421,2628
50,Ivan Franko Homes,43.5236,-79.6871823,"3058 Winston Churchill Blvd, Mississauga, ON L5L 3J1",8,0,57,0,0,59
51,Kenollie PS,43.5571271,-79.5980484,"1376 Glenwood Dr, Mississauga, ON L5G 2X1",1,61,289,74,62,510
52,Kindree PS,43.5831097,-79.7898674,"7370 Terragar Blvd, Mississauga, ON L5N 7L8",10,265,71,551,356,1339
53,King Gardens RR,43.5810555,-79.6134288,"85 King St E, Mississauga, ON L5A 4G6",7,6,4,3,0,17
54,Leisure World CGC,43.5820362,-79.7054708,"1783 Poets Walk, Mississauga, ON L5M 4M4",6,1,0,5,0,7
