ward,Dipika Damerla,Stephen Dasko,Carolyn Parrish,Alvin Tedjo,total,vote_percentage,Pop_
1,1080,6074,1181,1491,10275,7.338237394657907,42605
10,2261,1022,5492,3892,13740,9.812883873732323,74715
11,2521,1143,3784,2993,11264,8.04456506213398,60610
2,1461,2969,1965,4222,11260,8.041708327381802,47375
3,3463,1900,2696,1795,10906,7.788887301814026,59055
4,3364,1679,4855,3142,14621,10.442079702899585,72710
5,2149,788,6125,2239,12953,9.250821311241252,78140
6,2832,1383,5924,4343,15779,11.269104413655192,78070
7,3589,1819,3705,2305,12306,8.788744465076418,80715
8,2191,2327,3859,4160,13787,9.846450507070418,68660
9,2208,1304,3908,4423,13129,9.376517640337095,58945
